///The Seeker (3508144636)///
Cute_Fatalis.IW-name|Искатель
I will decode and read the pearls for you then.|Тогда я расшифрую и прочитаю для тебя жемчужины.
///Финал
I've collected enough pearl data.|Я собрал достаточно данных о жемчужинах.
Time to find a communication array to send the data back to my structure.|Пора найти коммуникационный массив, чтобы отправить данные обратно в мою структуру.
///Разное
Better turn back. I don't think void sea would bless redemption on this soulless vessel... <LINE>and I still have works to complete.|Лучше повернуть назад. Не думаю, что Пустотное море благословит искупление этого бездушного сосуда...<LINE>а мне ещё нужно закончить работу.
Reading ended.|Чтение закончено.
Climb onto the central pole to send your pearl data.|Заберись на центральный столб, чтобы отправить данные о своих жемчужинах.
[Sorry, but Seeker's own reading content is incompleted yet.<LINE>This part will be gradually fullfilled in future updates!<LINE>P.S. I'm sorry, but writting independent reading content for 23 pearls is really time consuming...]|[Извините, но контент для самостоятельного чтения от Искателя ещё не готов.<LINE>Эта часть будет постепенно дополняться в будущих обновлениях!<LINE>P.S. Извините, но написание контента для самостоятельного чтения на 23 жемчужины требует много времени...]
///Белые пустые жемчужины
"Triple affirmation to EmgTx!"|«Тройное подтверждение EmgTx!»
Sounds like a fanatical religious slogan.|Звучит как фанатичный религиозный лозунг.
There's nothing interesting in this pearl.|В этой жемчужине нет ничего интересного.
Obviously, this pearl doesn't contain any valuable data.|Очевидно, что эта жемчужина не содержит никаких ценных данных.
It's not a deliberate tease, isn't it?|Это ведь не намеренное поддразнивание, не так ли?
Please don't beset me by sending meaningless informations.|Пожалуйста, не докучай мне бессмысленной информацией.
I'm afraind that I have to confirm one thing.|Боюсь, мне придётся кое-что подтвердить.
Have you always been finding amusement in teasing others?|Тебе всегда нравилось дразнить других?
I'm sorry, but this data is literally worthless.|Извини, но эти данные буквально ничего не стоят.
I don't mean to disappoint you, but making comments on this totally useless pearl really baffles me.|Не хочу тебя разочаровывать, но комментарии к этой совершенно бесполезной жемчужине меня просто поражают.
Stop it. No "Hi Pebbles" services for you.|Прекрати. Никаких услуг «Привет, Галька» для тебя не предусмотрено.
Don't you have better things to do?|Разве у тебя нет дел поважнее?
///Цветные жемчужины
///Дымоход (Золотая)
It explains an theoretical experiment of circumventing the self-destruction taboo in detail. <LINE>It’s probably intended for some superstructure AI with the self-destruction taboo in their genome.|В ней подробно описывается теоретический эксперимент по обходу табу на самоуничтожение.<LINE>Вероятно, она предназначена для какого-то итератора, в геноме которого заложено табу на самоуничтожение.
The operation itself isn’t very complicated to manipulate for general superstructure AI. <LINE>It’s about creating idle organic matter, which can procreate and act on the rest of superstructure organic matter<LINE>to specifically re-write the taboo genome, by repeatedly scrambling the genome of the sample cells with temperature fluctuations and filtering the resulting cells with needed genome<LINE>out of the rest.|Сама по себе операция не представляет особой сложности для итератора. Речь идёт о создании инертной органической материи,<LINE>которая может размножаться и воздействовать на остальную органическую материю надстройки, чтобы целенаправленно переписать<LINE>запретный геном, многократно изменяя геном клеток образца с помощью температурных колебаний и отфильтровывая из остальных<LINE>клеток те, которые содержат нужный геном.
The problem is this experiment requires a big number of iterations and parallel process,<LINE>which can be extremely risky and time consuming to handle.|Проблема в том, что этот эксперимент требует большого количества итераций и параллельных процессов,<LINE>что может быть крайне рискованно и отнимать много времени.
This idea sounds kinda wild and rough, but also appealing to me somehow.<LINE>I may take a try when all my work is done.|Эта идея кажется немного безумной и грубой, но в то же время чем-то меня привлекает.<LINE>Я могу попробовать, когда закончу всю свою работу.
///Массивы ферм (Насыщено-розовая)
Despite the grandiose diction, it's just a confirmation to an automated farming plot<LINE>that a shipment of beverages has arrived.|Несмотря на напыщенную речь, это всего лишь подтверждение для автоматизированного фермерского участка о прибытии партии напитков.
This pearl is encrypted in a way I can't decode.|Эта жемчужина зашифрована так, что я не могу её расшифровать.
Maybe the local superstructure AI can decode it for me?|Может быть, местный итератор сможет расшифровать её для меня?
///Массивы ферм (Алая)
It’s a small plate, it contains a little text of spiritual guidance<LINE>written by a monk called Four Cabinets, Eleven Hatchets.|Это небольшая табличка с кратким духовным наставлением, написанным монахом по имени Четыре Шкафа, Одиннадцать Топориков.
The subject is about how to shed the fourth of five natural urges, gluttony,<LINE>by starve oneself on herbal tea and gravel.|Речь идёт о том, как избавиться от четвёртого из пяти естественных желаний — чревоугодия — с помощью голодания на травяном чае и гравии.
The method looks outdated and quite a ordeal since it was created before the Void Fluid revolution,<LINE>and was soon obsolete after the prevalence of Void Fluid bath.<LINE>But Void Fluid bath has a fatal defect that it can not entirely wipe out some strong ego,<LINE>leaving a faint echo trapped in the endless time.|Этот метод выглядит устаревшим и довольно сложным, поскольку он был разработан до революции в области Пустотной жидкости<LINE>и вскоре вышел из употребления после появления ванн с Пустотной жидкостью. Но у ванн с Пустотной жидкостью есть<LINE>существенный недостаток: они не могут полностью уничтожить сильное эго, оставляя после себя слабое эхо,<LINE>запертое в бесконечном времени.
So for those plagued by either the desire of satisfaction of five natural urges<LINE>or intense obsession, the old methods are sometimes more reliable ways of ascension.|Таким образом, для тех, кто страдает либо от желания удовлетворить пять естественных потребностей,<LINE>либо от сильной одержимости, старые методы иногда оказываются более надёжными способами вознисения.
///Промышленный комплекс (Синяя)
It's a production record of a mask factory called Side House.|Это производственный отчёт фабрики по изготовлению масок под названием Дом На Стороне.
The masks used to be a display of pure spiritual persuasion and symbolic abatement of the self in ancient time,<LINE>but this has been subversively translated into a lavish ostentation of social puissance and status from time immemorial.|В древности маски использовались для демонстрации чистого духовного убеждения и символического самоуничижения,<LINE>но с незапамятных времён это превратилось в показное демонстрирование социального влияния и статуса.
Mask... This archaic concept is always reminiscent for me of the darkest period<LINE>when my whole roof city was shaded by overwhelming pressure of conflicts.|Маска... Это архаичное понятие всегда напоминает мне о самом мрачном периоде,<LINE>когда весь мой город на крыше был окутан подавляющим давлением конфликтов.
My superstructure was built in a densely populated region where every bit of resources was worth a fierce battle.<LINE>I can’t remember how many times the dominators of my roof city had commanded me to reject and resort to force against those strangers<LINE>who came to seek for very basic habitable shelters.|Моя надстройка была построена в густонаселённом регионе, где за каждый клочок ресурсов велась ожесточённая борьба.<LINE>Я не могу вспомнить, сколько раз правители моего города на крыше приказывали мне применять силу против чужаков,<LINE>которые приходили в поисках самого простого жилья.
And unsurprisingly they don’t love our own civilians as well by forcibly separating and distribute them into different residential areas,<LINE>so our project of massive ascension without reliance on the lacking void fluid would run properly,<LINE>because “it has been proved theoretically and practically that the owner of higher karma levels would receive negative impact<LINE>from the behaviors of those with lower ones, which will obstruct the progress to ascension”.|И неудивительно, что они не любят и наших граждан, насильно разделяя их и распределяя по разным жилым районам,<LINE>чтобы наш проект массового вознесения без использования недостающей Пустотной жидкости работал должным образом,<LINE>ведь «теоретически и практически доказано, что обладатели более высокого уровня кармы будут испытывать негативное<LINE>влияние от поведения тех, у кого уровень ниже, что будет препятствовать их продвижению к вознесению».
...Okay! Enough for unpleasant reminiscence!|...Ладно! Хватит неприятных воспоминаний!
I don’t need to tolerant these anymore what ever.<LINE>They morbidly competed for living with splendor,<LINE>but eventually dying without remaining a tiny bit of residue, how amusing.|Мне больше не нужно проявлять терпимость по отношению к ним, что бы они ни делали.<LINE>Они неистово боролись за жизнь, но в конце концов умирали, не оставив после себя и следа.<LINE>Как забавно.
///Затенённая цитадель (Пурпурно-красная)
It looks like an oration about the memory and qualia matter donated by someone<LINE>named Seventeen Axes, Fifteen Spoked Wheel, who had completed their ascension ritual.|Похоже на речь о памяти и квалиа, которую произнёс некто по имени Семнадцать Топоров Пятнадцатиспицевого Колеса, завершивший ритуал вознесения.
It has nothing to do with my work, but imaging about these memories and qualia<LINE>still counts as some entertainment for me... maybe.|Это не имеет никакого отношения к моей работе, но размышления об этих воспоминаниях<LINE>и квалиа всё же служат для меня своего рода развлечением... может быть.
///Дренажная система (Ярко-зелёная)
It’s an old intricate prose. The writer narrated their understanding of the relationship<LINE>of the lives and the world they are living in with a lot of simile and metaphor.|Это старая запутанная проза. Автор с помощью множества сравнений и метафор описал своё понимание взаимосвязи между жизнью и миром, в котором мы живём.
It firstly says that the world is like a tangled rug, knotting its every parts together.<LINE>Then the world becomes a furry animal hide and living beings are like the insects crawling in it.<LINE> And then the world is a fishing net, more the victims struggle, more entangled they will become.<LINE>Only the most supple beings like jellyfish can slip from the net.|Сначала говорится, что мир подобен спутанному ковру, где все части связаны между собой.<LINE>Затем мир становится шкурой мохнатого животного, а живые существа — насекомыми, ползающими по ней.<LINE>А потом мир превращается в рыболовную сеть: чем сильнее жертвы сопротивляются, тем сильнее запутываются.<LINE>Только самые гибкие существа, такие как медузы, могут выскользнуть из сети.
It’s funny to see how those divine pursuit of greatness gradually become the biggest karmic hindrance<LINE>chaining its owners to this decaying world.<LINE>And unfortunately, we superstructure AI are one of these pathetic beings.|Забавно наблюдать, как это божественное стремление к величию постепенно становится самым большим кармическим препятствием,<LINE>приковывающим своих обладателей к этому разрушающемуся миру. И, к сожалению, мы, итераторы, — одни из этих жалких существ.
Someone joked that superstructure AI will never ascend<LINE>because it’s impossible to dig through the earth with their “legs” and drag their huge cans into Void Sea.<LINE>We are cursed by our omniscience and greatness, our shells and souls are too giant and stubborn to fit the holes of the net.<LINE>But in the meanwhile, we lack the enough wisdom and power to overlook the entire nature of the world<LINE>and free every struggling beings from the endless cycle.|Кто-то пошутил, что итераторы никогда не вознесутся, потому что невозможно прорыть землю их «опорами» и затащить их огромные банки в Море Пустоты.<LINE>Мы прокляты своим всезнанием и величием, наши оболочки и души слишком огромны и упрямы, чтобы пролезть в ячейки сети.<LINE>Но в то же время нам не хватает мудрости и силы, чтобы увидеть всю природу мира и освободить всех борющихся существ из бесконечного цикла.
We are trapped by our grandeur and puniness.|Мы оказались в ловушке собственного величия и ничтожности.
///Белая (Перламутровая), Подземка (Тёмно-пурпурная), Небесные острова (Тёмно-зелёная, Тёмно-жёлтая, Тёмно-фиолетовая, Тёмно-синяя, Бордовая)
This is an encrypted broadcast, only the names or bywords of involved ones can be read.|Это зашифрованная трансляция, в которой можно прочитать только имена или инициалы участников.
I’m not very into the gossip like this, but letting the local superstructure AI read it for me<LINE> won’t be a bad idea. |Я не очень люблю подобные сплетни, но будет неплохо, если местный итератор прочитает их за меня.
///Подземка (Тиловая)
It’s the blueprint of a Void Fluid filtration system.|Это схема системы фильтрации Пустотной жидкости.
Nothing special about the blueprint itself, but it makes me recall some interesting hypothesis<LINE> about the Void Fluid.|В самом чертеже нет ничего особенного, но он заставляет меня вспомнить одну интересную гипотезу о Пустотной жидкости.
It’s widely known that the earth is constantly building upwards due to the accumulation of dust<LINE>and meanwhile sinking down due to the dissolution of Void Sea.<LINE>But what causes this balanced (mostly) material cycle?<LINE>Where is the dust from, and where did the dissolved materials go?|Широко известно, что земля постоянно растёт за счёт накопления пыли и в то же время опускается из-за растворения в Море Пустоты.<LINE>Но что вызывает этот сбалансированный (в основном) материальный цикл?<LINE>Откуда берётся пыль и куда деваются растворённые материалы?
The earlier debates and researches were about how Void Sea send the dissolved materials into the skies,<LINE>and unsurprisingly neither agreed conclusions nor rigorous proof were made.|Ранее велись споры и проводились исследования о том, как Море Пустоты выбрасывает в небо растворённые вещества.<LINE>Неудивительно, что не было ни согласованных выводов, ни убедительных доказательств.
With time passing by, suspicious reports about the weird illusions of “another world”<LINE>began popping up from various districts, and most of these reports were from workers of underground facilities near Void Fluid sources.<LINE>At first these reports were considered random rumors, but gradually people found that they were too coincidentally similar in contents and timing<LINE>to be just random rumors.|Со временем из разных районов стали поступать подозрительные сообщения о странных иллюзиях «другого мира»,<LINE>и большинство этих сообщений поступало от работников подземных сооружений вблизи источников пустотной жидкости.<LINE>Сначала эти сообщения считались случайными слухами, но постепенно люди поняли, что они слишком похожи по содержанию<LINE>и времени появления, чтобы быть просто слухами.
These reports were about seeing/hearing/feeling the illusions of unknown nature landscapes or structures<LINE>that hadn’t been witnessed or recorded at any of the existing locations, like tubular or pyramid superstructures.<LINE>Most of these illusive sense happened after taking karma flowers around Void Fluid intake sites.|В этих сообщениях говорилось о том, что люди видели/слышали/ощущали иллюзии, связанные с неизвестными природными ландшафтами или структурами,<LINE>которые не были замечены или зафиксированы ни в одном из существующих мест, например трубчатые или пирамидальные надстройки.<LINE>Чаще всего эти иллюзии возникали после того, как люди собирали цветы кармы вокруг мест забора Пустотной жидкости.
A new hypothesis argued that the earth material cycle may happens across different “worlds”,<LINE>the falling dust from the skies (also known as celestial spheres) is actually from the eroded bottom of another world.<LINE>The different worlds wrap or interlace each other orderly or disorderly, like a giant abstract onion macroscopically.<LINE>And the illusions of uncharted locations were a result of approaching the boundary between two different worlds.|Согласно новой гипотезе, материальный цикл земли может происходить в разных «мирах», а падающая с неба пыль<LINE>(также известная как небесные сферы) на самом деле является результатом эрозии дна другого мира.<LINE>Разные миры упорядоченно или хаотично переплетаются друг с другом, как гигантская абстрактная луковица на макроскопическом уровне.<LINE>А иллюзии неизведанных мест возникают из-за приближения к границе между двумя разными мирами.
Whatever the hypothesis developed into, none was successfully proved<LINE>since all these arguers had perished in Void Fluid.|Какой бы ни была эта гипотеза, ни одна из них не была успешно доказана, поскольку все спорщики погибли в Море Пустоты.
///Свалка (Бирюзовая)
Its content mostly consist of intricate internal language and thoughts.<LINE>Since I’m ignorant of the local linguistic and culture, I can barely understand its meaning.|Её содержание в основном состоит из замысловатых внутренних диалогов и мыслей.<LINE>Поскольку я не знаком с местным языком и культурой, я с трудом могу понять её смысл.
The only thing I can figure out is its author, Five Pebbles.<LINE>Considering the environments around the pearl, it’s probably discarded with other waste from the superstructure nearby.|Единственное, что я могу определить, — её автор, Пять Галек. Судя по окружающей жемчужину обстановке,<LINE>её, вероятно, выбросили вместе с другими отходами из расположенной неподалёку надстройки.
///Побережье (Розовая)
It’s the genome for a pipe cleaning slug.|Это геном слизня, который чистит трубы.
There’s another type of slug-shaped purpose organism, aka “messenger”,<LINE>that’s very popular among certain groups of superstructure AI.<LINE>These purpose organisms are smart and swift enough to complete small missions like delivering small goods,<LINE>or doing simple operations that AI can not manipulate independently due to the physical structure limitation.<LINE>Also, they aren’t too smart like some scavengers<LINE>so that they won’t doubt or betray the given instructions out of their self will.|Существует ещё один тип целенаправленных организмов в форме слизней, так называемых «посланников», которые очень популярны среди определённых групп итераторов.<LINE>Эти целенаправленные организмы достаточно умны и быстры, чтобы выполнять небольшие задачи, например доставлять небольшие грузы или выполнять простые операции,<LINE>которые итератор не может выполнять самостоятельно из-за ограничений физической структуры.<LINE>Кроме того, они не настолько умны, как некоторые мусорщики, поэтому не будут сомневаться в полученных инструкциях или нарушать их по собственной воле.
Some of the AI tries to research on the genome of the cleaning slug to find inspirations<LINE>of more stable and safe modifications on the “messengers”, as the two species share a significant rate of similar genome,<LINE>though there’s no 100% convincing evidence of that “messengers” are originated from cleaning slugs.|Некоторые итераторы пытаются исследовать геном слизней-чистильщиков, чтобы найти способы более стабильной<LINE>и безопасной модификации «посланников», поскольку геномы этих двух видов во многом схожи,<LINE>хотя нет стопроцентно убедительных доказательств того, что «посланники» произошли от слизней-чистильщиков.
Whatever, having some interesting and even functional recreation isn’t a bad thing!|В любом случае, интересный и даже полезный досуг — это неплохо!
///Побережье (Фиолетовая)
It’s a report of local aquifer assessment and analysis.|Это отчёт об оценке и анализе состояния местного водоносного горизонта.
Such reports are usually made during the planning of superstructure constructions<LINE>to ensure the sufficient water supply for the structures<LINE>and proper water redistribution throughout the local district.|Такие отчёты обычно составляются при планировании строительства надземных сооружений,<LINE>чтобы обеспечить достаточное водоснабжение объектов и правильное перераспределение воды в пределах района.
Considering there’s already an intact superstructure in this district,<LINE>the giant debris and collapsed great structures around the location of this pearl may belong to another superstructure<LINE>overwhelmed by sever rivalry for adequate water supply, due to the fairly small distance between them.|Учитывая, что в этом районе уже есть неповреждённое надземное сооружение, гигантские обломки и разрушенные строения<LINE>вокруг этой жемчужины могут принадлежать другому надземному сооружению, которое было разрушено из-за ожесточённой<LINE>борьбы за достаточное водоснабжение, поскольку расстояние между ними довольно небольшое.
///Побережье (Жёлтая)
It’s authored by Looks to the Moon, and contains analysis and commends on an iterator, Slivers of Straws. <LINE>However, most of the content is meaningless to me, since I have no knowledge of both the writer and written one.|Автор — Смотрящая на Луну. Статья содержит анализ и похвалу в адрес итератора Прядь Соломы.<LINE>Однако большая часть содержания для меня бессмысленна, поскольку я ничего не знаю ни об авторе, ни о его произведении.
Maybe I should try to find the author to get more information if possible?|Может быть, мне стоит попытаться найти автора, чтобы получить больше информации, если это возможно?
///Затонувшая конструкция (Грязно-жёлтая)
It’s a set of notes and research about a seven-hundred-and-ninety-second<LINE>karmic inversion loop simulation, authored by Looks to the Moon.|Это набор заметок и исследований о моделировании кармической инверсионной петли длительностью семьсот девяносто секунд,<LINE>автором которых является Смотрящая на Луну.
For further information, I think only the author would know.|Думаю, что дополнительную информацию может предоставить только автор.
///Окраина (Светло-синяя)
Its entire pearl memory is filled by a repeated mantra ending with a termination verse,<LINE>I suppose it used to be worn as an amulet.|Вся её жемчужная память наполнена повторяющейся мантрой, завершающейся заключительным стихом.<LINE>Полагаю, раньше её носили как амулет.
It uses repeating mantra to symbolize the cycle of life and death,<LINE>and ends it with the termination verse as a symbol of ascension beyond the cycle.|В ней используется повторяющаяся мантра, символизирующая цикл жизни и смерти, а завершается она заключительным стихом,<LINE>символизирующим выход за пределы цикла.
Speak of the cycle, there was once an interesting hypothesis prevalent among the residents in my local district!<LINE>According to it, despite the general karma level, sentient creatures have a hidden karma level system<LINE>that is hard to be assessed via normal measurements.|Кстати, о цикле: когда-то среди жителей моего района была популярна интересная гипотеза!<LINE>Согласно ей, несмотря на общий уровень кармы, у разумных существ есть скрытая система уровней кармы,<LINE>которую трудно оценить обычными методами.
Every things a sentient creature have done in its life,<LINE>from the historic deeds to basic daily activities,<LINE>will leave effect on its hidden karma more or less.|Всё, что разумное существо делает в своей жизни, от исторических свершений до повседневных дел,<LINE>так или иначе влияет на его скрытую карму.
Generally, all dead sentient creatures will rebirth as one of these form depending on their karma:<LINE>deities, demons, ordinary intelligent lives, instinctive beasts, ghouls, and foulest beings suffering from the eternal punishment.<LINE>Higher the creature’s hidden karma is, more divine its rebirth form is,<LINE>which makes individuals’ life cycles more like a spiral than a plain circle<LINE>because their reincarnations won’t always stay the same.|Как правило, все умершие разумные существа перерождаются в одной из следующих форм в зависимости от своей кармы: божества, демоны,<LINE>обычные разумные существа, животные, ведомые инстинктами, вурдалаки и самые отвратительные существа, страдающие от вечного наказания.<LINE>Чем выше скрытая карма существа, тем более божественной будет его форма при перерождении, что делает жизненные циклы отдельных<LINE>существ больше похожими на спираль, чем на простой круг, поскольку их реинкарнации не всегда одинаковы.
When the creature’s hidden karma is high enough,<LINE>it will gain the wisdom of abandoning all desires and strong ego,<LINE>and ascend beyond the cycle without destroying its body and spirit with external forces.|Когда скрытая карма существа достаточно высока, оно обретает мудрость, позволяющую отказаться от всех желаний<LINE>и сильного эго, и выходит за пределы цикла, не разрушая своё тело и дух внешними силами.
The measurement of the “hidden karma level” was even realized by upper-class somehow,<LINE>though it was used to separate residents into different social rank eventually<LINE>instead of a pure discipline of personal behaviors.|Высший класс каким-то образом научился измерять «скрытый уровень кармы»,<LINE>хотя в конечном счёте это использовалось для разделения жителей на группы с разным социальным статусом,<LINE>а не для чисто дисциплинарного контроля за поведением.
///Окраина (Бледно-розовая)
It’s an asset management log. There’s no much interesting information,<LINE>despite the historic structure health of various parts of some framework over hundreds of cycles.|Это журнал управления активами. В нём нет особо интересной информации, несмотря на то,<LINE>что в нём содержится информация о состоянии различных частей какой-то структуры на протяжении сотен циклов.
Since none of these structures are marked as needing explicit repairs in the log,<LINE>I assume the technology of self-maintaining structure is also widely used in this district.|Поскольку ни одно из этих сооружений не помечено в журнале как требующее капитального ремонта, я предполагаю,<LINE>что в этом районе также широко используется технология самовосстанавливающихся конструкций.
I have to admit that this technology is one of the greatest inventions.<LINE>Thanks to it, most structures, including the superstructures, will be able to last incredibly long<LINE>without any manual maintenance after the global ascension.|Я должен признать, что эта технология — одно из величайших изобретений. Благодаря ей большинство конструкций, в том числе надстройки,<LINE>смогут прослужить невероятно долго без какого-либо ручного обслуживания после глобального вознисения.
My current vessel also uses this technology!<LINE>These efficient microbes only need one cycle hibernation to completely recover any non-lethal damage,<LINE>as long as they are provided with enough materials.|В моём нынешнем сосуде тоже используется эта технология! Этим эффективным микроорганизмам достаточно одного цикла гибернации,<LINE>чтобы полностью восстановить любые нелетальные повреждения, при условии, что у них будет достаточно материалов.
///Корпус (Серо-мятная)
It looks like the speech sheet of a conference about the maintenance of relationship<LINE>between the iterator and the residents on it.<LINE>The author argued that it’s vital for the residents to take actions to enhance the good relationship with their iterator,<LINE>like having parental obligations towards their iterator and dealing with opposition to the existence of their iterator...|Это похоже на тезисы доклада на конференции о поддержании отношений между итератором и его обитателями.<LINE>Автор утверждал, что обитателям жизненно важно предпринимать действия для улучшения отношений с итератором,<LINE>например выполнять родительские обязанности по отношению к итератору и справляться с противодействием существованию итератора...
I don’t have any commentary on this.<LINE>I don’t want to recall how my creators treated me.|У меня нет комментариев по этому поводу. Я не хочу вспоминать, как ко мне относились мои создатели.
///Мегаполис (Зелёная)
It’s an old collection of architectural notes, mostly about the two transfer bridges<LINE>between facilities of two iterators.|Это старая подборка архитектурных заметок, в основном о двух переходных мостах между объектами двух итераторов.
Two iterators being built within such a small distance is a rare case.<LINE>Why was it planned like this...?|Два итератора, построенные на таком небольшом расстоянии друг от друга, — редкий случай.<LINE>Почему всё было спланировано именно так...?
///Мегаполис (Бронзовая)
It’s a blueprint of living block cell for organic waste storage and processing.<LINE>Nothing interesting about it.|Это схема живой блочной клетки для хранения и переработки органических отходов.<LINE>Ничего интересного.
///Трубная база (Пурпурная)
It’s a maintenance and production log for one of the forty-seven operating drill silos.<LINE>No useful information in it.|Это журнал технического обслуживания и производства для одной из сорока семи действующих буровых установок.<LINE>Полезной информации в нём нет.
///Внешняя даль (Лавандовая)
It’s a set of final operation logs of a transit control tower.<LINE>The transit facilities has gradually become frozen ever since the caravans suspended their final shipments<LINE>right before the global ascension.|Это набор последних журналов операций диспетчерской транзитной станции. Транзитные объекты постепенно замерзали с тех пор,<LINE>как караваны приостановили свои последние поставки непосредственно перед глобальным вознисением.
