///Not Slugcat Playables (3504376213)///
///sprobgik.desecratinggraves-name|not slugcat playables
///sprobgik.desecratinggraves-description|there are no slugcats....
sprobgik.desecratinggraves-name|Not Slugcat Playables
A strange being with an unusual disposition, corrupted by the desire for power.<LINE>The manifestation of an instinct destined to serve an undying problem.|Странное существо с необычным характером, испорченное жаждой власти.<LINE>Проявление инстинкта, призванного служить вечной проблеме.
top text<LINE>oh my goodness! theres a parasite in my rain world!|Боже мой!<LINE>В моём дождливом мире завёлся паразит!
Legs Tip|Кончики ног
Arms|Руки
Arms Tip|Кончики рук
Tendril Body|Усики
Tendril Tip|Кончики усиков
///Мусорщик
///Меню
The Scavenger|Мусорщик
THE SCAVENGER|МУСОРЩИК
A born outcast, shunned out of its tribe for reasons it couldn't understand.<LINE>Yet, it bore the symbol of a new era for its species.|Прирождённый изгой, изгнанный из своего племени по непонятным для него причинам.<LINE>Тем не менее он нёс в себе символ новой эры для своего вида.
carl|Серьёзно?
Chest Patch|Узор на груди
Decoration|Украшение
///Гниль
///Меню
The Rot|Гниль
THE ROT|ГНИЛЬ
Rot|Гниль
An experiment turned disease, its undying hunger sacrificed for sentience. Find purpose<LINE>in a world unforgiving to those who lack direction, or reclaim the divinity you failed to achieve.|Эксперимент обернулся болезнью, и твой неутолимый голод был принесён в жертву ради разума.<LINE>Найди цель в мире, который беспощаден к тем, кто не знает, куда идти,<LINE>или верни себе божественность, которой тебе не удалось достичь.
rot gaming<LINE>bottom text|Гнилые игры!
Cyst Body|Тело кисты
Cyst Eyes|Глаза кисты
Tentacle Body|Щупальца
Tentacle Tips|Кончики щупальц
///Обучение
Press Jump while holding any movement keybind to extend a tentacle, and Throw to retract them. Only 4 can be active at a time|Нажми «Прыжок», удерживая любую клавишу для перемещения, чтобы вытянуть щупальце, и «Бросить», чтобы убрать его.
While holding Pickup, press any movement keybind to extend a prehensile tentacle|Удерживай «Взять» и любую клавишу для перемещения, чтобы выпустить цепкое щупальце.
Creatures can be thrown around with great force to kill them, hold Pickup to move grabbed objects around|Существ можно швырять с большой силой, чтобы убить их. Удерживай «Взять» и «Прыжок», чтобы перемещать объекты.
Hold Jump while holding a lighter object to increase grabbed movement speed|Удерживай «Прыжок», держа в руках более лёгкий предмет, чтобы увеличить скорость перемещения с предметом.
Press Throw while holding food close to your body to consume it|Нажми «Бросить», держа еду близко к телу, чтобы съесть её.
Your core is fragile. Hold Map to create a new cyst, but at the cost of foodpips|Твоё ядро хрупкое. Удерживай карту, чтобы создать новую цисту, но на это потребуется еда.
These cysts can serve as protection, covering your core. However, they can significantly affect your mobility|Эти цисты могут служить защитой, прикрывая твоё ядро. Однако они могут существенно повлиять на твою подвижность.
Holding Pickup while creating a cyst will make it larger, consuming double the food.|Если удерживать «Взять» во время создания цисты, она станет больше и поглотит в два раза больше еды.
Pressing Map while holding certain objects near your body will make it absorb the object, mimicking some of its properties|Если нажать на карту, держа определённые предметы рядом с собой, ядро впитает их, имитируя некоторые их свойства.
With active mimicry, hold any movement keybind and press C to activate a cyst closest to your movement direction|При активной имитации удерживай любую клавишу для перемещения и нажми C, чтобы активировать цисту.
///Галька ???
So you've arrived.|Итак, ты прибыл.
It was only a matter of time. My overseers have been pestering me quite a bit about your movements.<LINE>A cyst that lost its malignance... An extremely unlikely occurrence, even as some form of mutation.|Это был лишь вопрос времени. Мои наблюдатели изрядно докучали мне расспросами о твоих передвижениях.<LINE>Циста, утратившая злокачественность... Крайне маловероятное событие, даже в качестве какой-нибудь мутации.
As you can already tell from some of the memories you inherited, I am your creator. Your god, so to speak.|Как ты уже понял из некоторых унаследованных тобой воспоминаний, я — твой создатель. Так сказать, твой бог.
You were merely a byproduct of an experiment that I had some... difficulties with.<LINE>The result of a failure, in better terms.|Ты был всего лишь побочным продуктом эксперимента, с которым у меня возникли некоторые... трудности.<LINE>Проще говоря, ты — результат провала.
You are stuck in a cycle, little one. A repeating pattern. Though, it seems you don't exactly want a way out.<LINE>Your thoughts suggest that you're more fixated on something else.|Ты застрял в цикле, малыш. В повторяющемся шаблоне. Хотя, похоже, ты не особо стремишься выбраться.<LINE>Судя по твоим мыслям, ты больше зациклен на чём-то другом.
An unusual frustration is etched into each cell in your mass... Difficult to read, yet easily distinguishable.|Необычное разочарование запечатлелось в каждой клетке твоего тела...<LINE>Его трудно распознать, но всё же можно.
A sense of purpose filled with only the lack of it. An unpleasant feeling... One I can somewhat relate with, I suppose.|Ощущение цели, наполненное лишь её отсутствием. Неприятное чувство...<LINE>Полагаю, я могу его понять.
Unfortunately, there is nothing I can do to help you, as much as I can't help myself.<LINE>All I can offer you are consolations to your particular situation.|К сожалению, я ничем не могу тебе помочь, как и сам не могу помочь себе.<LINE>Всё, что я могу тебе предложить, — это утешение в твоей конкретной ситуации.
As much as it somewhat pleases me to see your taste for your own kind,<LINE>the same cannot be said about you consuming my neurons and inspectors.|Хоть мне и приятно видеть, что ты питаешь слабость к себе подобным,<LINE>того же нельзя сказать о том, что ты поглощаешь мои нейроны и инспекторов.
It is best you leave, at this point. I'm sure you understand. After all, your intelligence is quite high, even for a cyst.|Сейчас тебе лучше уйти. Я уверен, что ты понимаешь. В конце концов, у тебя довольно высокий уровень интеллекта, даже для цисты.
I do hope you find something to do, in the end.<LINE>However, I must resume my work. Please take the access shaft on your way out.|Я очень надеюсь, что в конце концов ты найдёшь себе занятие.<LINE>Однако я должен вернуться к работе. Пожалуйста, выходи через шахту доступа.
///Луна (Первое посещение)
Oh.|О.
Um...|Эм...
How strange.. My words seem to be coming through.|Как странно... Кажется, мои слова доходят до него.
Can it... hear me?|Может, он... меня слышит?
You must be from Five Pebbles, I assume..? It is my first time seeing something like you in person...|Ты, должно быть, из банки Пяти Галек, я полагаю...? Я впервые вижу кого-то вроде тебя вживую...
I can almost see your thought processes occurring in real time if I look closely into your body...<LINE>It's a strange feeling. It's as if I'm looking into the inner workings of my structure..|Если присмотреться к твоему телу, то можно почти увидеть, как в реальном времени происходят твои мыслительные процессы...<LINE>Странное ощущение. Как будто я заглядываю во внутреннюю работу своей структуры.
Unfortunately, there is.. not much you can find here, little... thing? I am not sure what to call you.|К сожалению, здесь... не так много того, что ты можешь найти, малыш... штучка?<LINE>Я не знаю, как тебя называть.
Feel free to stay if you wish. Do be mindful of the rain.|Не стесняйся остаться, если хочешь. Только будь осторожней под дождём.
///Луна (Второе посещение)
Oh. Hello again, little thing.|О. Ещё раз привет, маленькая штучка.
It is still a bit strange, seeing your form.. I'm not too familiar with seeing organisms like you enter here.|Мне всё ещё немного странно видеть твою форму...<LINE>Я нечасто сталкиваюсь с такими организмами, как ты.
I don't mind your presence that much, though. Stay as long as you'd like.|Но я не против твоего присутствия. Оставайся столько, сколько захочешь.
///Искусственный
///Меню
The Artificial|Искусственный
THE ARTIFICIAL|ИСКУССТВЕННЫЙ
Artificial|Искусственный
A broken cog far from its machine, mislead by daunting freedom that was always present.<LINE>Lead a futile and perilous journey, all to escape the far reaching hands of your creator.|Сломанная шестерёнка вдали от механизма, сбитая с толку пугающей свободой, которая всегда была рядом.<LINE>Отправся в бесполезное и опасное путешествие, чтобы ускользнуть от вездесущих рук своего создателя.
you know what else is artificial?|Знаешь, что ещё является искусственным?
Legs|Ноги
Body Coloring|Окраска тела
Head|Голова
Tongue Charge|Заряд
Heat|Свет
///Галька (Первое посещение)
I see. So he wasn't lying. Another rogue from Proud Innovation's structure...<LINE>It's been quite some time since one ended up here. Almost surprising.|Понятно. Значит, он не лгал. Ещё один мерзавец из структуры Гордые Инновации...<LINE>Прошло немало времени с тех пор, как кто-то из них оказался здесь.<LINE>Почти удивительно.
All this time, suffering from my mistakes... yet THIS is what he's been up to.<LINE>...I suppose I can't blame him. Not anymore.. Not that he didn't try, either.|Всё это время он страдал из-за моих ошибок... и вот чем он занимался.<LINE>...Полагаю, я не могу его винить. Больше не могу. Хотя он и пытался.
Proud Innovation, Grand Achievements. Your creator. They've informed me of your potential visit.<LINE>I've also been informed as to why you ran here. Well.. Only what he believes it to be.|Гордые Инновации, Великие Достижения. Твой создатель. Он сообщил мне о твоём возможном визите.<LINE>Мне также сообщили, почему ты сбежал сюда. Что ж... Только то, что он считает правдой.
It was reasonable the first time this happened. But now, it's just...|В первый раз это было разумно. Но теперь это просто...
Hear my words, abomination. You're ill-informed, just as I was.<LINE>Even if I haven't spoken to him for a long time, I know him enough to tell you for certain.|Внемли моим словам, мерзость. Ты так же плохо осведомлен, как и я.<LINE>Даже если я давно с ним не разговаривал, я знаю его достаточно хорошо, чтобы сказать тебе наверняка.
You were as free as the creatures that live and thrive within my territory's walls.<LINE>That desire of yours... It'll lead you back to the very thing you are attempting to escape.|Ты был так же свободен, как и существа, которые живут и процветают в стенах моей территории. Это твоё желание...<LINE>Оно приведёт тебя обратно к тому, от чего ты пытаешься убежать.
I'm sure you came here, expecting guidance. Of course, even in this state, I can guide you exactly how you wanted.<LINE>But the path I can guide you to... It's not what you're truly looking for.|Я уверен, что ты пришёл сюда в поисках совета.<LINE>Конечно, даже в таком состоянии я могу направить тебя именно туда, куда ты хочешь.<LINE>Но путь, по которому я могу направить тебя... Это не то, что ты на самом деле ищешь.
Knowing him, what you were looking for was already there to begin with. Freedom.<LINE>From the very moment you were created. Only few like you couldn't see it, such as the ones before you.|Зная его, я могу сказать, что то, что ты искал, уже было у тебя в руках. Свобода.<LINE>С самого твоего рождения. Лишь немногие, такие же, как ты, могли этого не видеть, например те, кто был до тебя.
I used to make quite the... conversation, with this. Now, it is no longer of any concern to me.<LINE>However... If you still want to walk down that path, then go ahead. As is my purpose, I will guide you. Just as you wanted.|Раньше я вёл довольно... содержательные беседы на эту тему. Теперь меня это больше не волнует. Однако...<LINE>Если ты всё ещё хочешь пойти по этому пути, то вперёд. Я буду направлять тебя, как и было задумано. Как ты и хотел.
Move west of here, past the farm arrays. Close to the broken gate you entered from, only much deeper.<LINE>There, you'll find the old path, where my creators went to in search of their own "freedom".|Двигайся на запад, мимо фермерских массивов. Недалеко от сломанных ворот, через которые ты вошёл, только гораздо глубже.<LINE>Там ты найдёшь старую тропу, по которой мои создатели отправились на поиски собственной «свободы».
Besides that... I have nothing more.<LINE>Heed my warning, creature. Your choice.|Кроме этого... у меня больше ничего нет. Прислушайся к моему предупреждению, существо. Выбор за тобой.
Take special care in not perishing in my chamber. I'd rather not have to watch that myself.|Будь особенно осторожен, чтобы не погибнуть в моей комнате. Я бы предпочёл не наблюдать за этим.
///Галька (Второе посещение)
I don't understand. Why are you here again?|Я не понимаю. Зачем ты снова здесь?
Just leave. I have no more words to say to you.|Просто уходи. Мне больше нечего тебе сказать.
///Галька (Третье посещение)
Your visits are becoming awfully frequent.|Твои визиты становятся слишком частыми.
Had a change of heart, perhaps?<LINE>..Don't answer that. Not that you could.|Может быть, ты передумал? ...Не отвечай. Ты бы и не смог.
Stay if you wish. I'm unable to hold any concern over it.|Оставайся, если хочешь. Меня это не волнует.
///Галька (Четвёртое посещение)
Why hello again.|Что ж, привет ещё раз.
///Луна (Первое посещение)
Ah, hello <PlayerName>. It has been some time since I had visitors.|А, привет, <PlayerName>. Давненько у меня не было гостей.
How unusual.. You appear to be some form of lizard species.<LINE>They don't tend to come here often on their own.|Как необычно... Ты, похоже, какой-то вид ящериц. Они нечасто приходят сюда сами по себе.
Not only that, your head has been replaced by a large metal jaw<LINE>similarly to the aquatic organisms my structure produces.|Мало того, твоя голова заменена большой металлической челюстью, как у водных организмов, которых производила моя структура.
A messenger, I assume? Your design seems quite... Peculiar, for a messenger.<LINE>You seem more fit for hunting than long distance travel...|Полагаю, ты посыльный? Твой дизайн кажется довольно... Необычным для посыльного.<LINE>Ты больше подходишь для охоты, чем для путешествий на дальние расстояния...
Your modifications don't hurt, do they? Unfortunately, even<LINE>then, I am unable to help you in a meaningful way.|Твои модификации не причиняют вреда, не так ли? К сожалению, даже в этом случае я не могу оказать тебе существенную помощь.
As you can see, there isn't much you can find here. My ability to operate<LINE>my structure is rather limited, since it was restored only recently.|Как видишь, здесь мало что можно найти. Мои возможности по управлению структурой довольно ограничены, поскольку она была восстановлена совсем недавно.
In any case, feel free to stay as long as you'd like. The rain<LINE>has been subsiding for some time, so there shouldn't be much to worry about.|В любом случае, не стесняйся оставаться здесь столько, сколько захочешь.<LINE>Дождь уже некоторое время идёт не так сильно, так что беспокоиться не о чем.
///Луна (Второе посещение)
Oh, hello again.|О, снова привет.
I'm curious as to what iterator you belong to? It couldn't have been Five Pebbles,<LINE>as his design philosophy doesn't exactly match with your appearance.|Мне любопытно, к какому итератору ты относишься? Это не может быть Пять Галек,<LINE>потому что его философия дизайна не совсем соответствует твоему внешнему виду.
I am not certain of the mission you are likely following, but you are welcome to stay as long as you need.|Я не уверена, какую миссию ты выполняешь, но ты можешь оставаться здесь столько, сколько тебе нужно.
///Жемчужина и её вариации
///Moon_Pearl_Smartrot
This pearl seems to have been recently written on... Were you the one who did this, little organism?|Похоже, эта жемчужина была написана совсем недавно... Это ты сделал, маленький организм?
I must admit, the way its been written into is a little clumsy, but it's still easy to read.|Должна признать, что способ написания немного неуклюжий, но текст всё равно легко читается.
Ah.. It seems you've stored a database into this pearl containing.. Creatures?|Ах... Похоже, ты сохранил в этой жемчужине базу данных, содержащую... Существ?
There's quite alot of information in these entries... It looks like you even have their genome stored here!|В этих записях довольно много информации... Похоже, здесь даже хранится их геном!
Physical descriptions, an image of the creature itself, different cell types and their function...<LINE>It's been so long since I've seen something like this.. I'm a bit surprised!|Физические характеристики, изображение самого существа, различные типы клеток и их функции...<LINE>Я так давно не видела ничего подобного... Я немного удивлёна!
Just a single entry in this database contains so much information in it... This is quite impressive, little organism!|Всего одна запись в этой базе данных содержит столько информации...<LINE>Это впечатляет, маленький организм!
This reminds me of the days when I would make my own pearls like this...<LINE>Unfortunately I am unable to recall much of my work..|Это напоминает мне о тех временах, когда я сама делала такие жемчужины...<LINE>К сожалению, я не могу вспомнить большую часть своих работ.
Although, I do wonder what you're trying to do with this? There's so much information for<LINE>even one creature, it makes me somewhat curious...|Хотя мне всё же интересно, что ты пытаешься с ними сделать? Даже для одного существа информации слишком много, и мне это немного любопытно...
Well, I won't pry any further. I'm sure you have your reasons.<LINE>Thank you for showing me your work, little organism.|Что ж, не буду больше приставать с расспросами. Я уверена, что у тебя есть на то свои причины.<LINE>Спасибо, что показал мне свою работу, маленький организм.
///Moon_Pearl_Smartrot_PostSlugcat
I must admit, the way its been written into is a little clumsy, but it's very much still readable.|Должна признать, что текст написан немного неуклюже, но его всё равно можно прочитать.
There also seems to be another entry here. Unlike the others, it appears to be highlighted.<LINE>The entry seems to contain a small bipedal creature, with notes attached indicating its intelligence and ability to form communities...|Похоже, здесь есть ещё одна запись. В отличие от остальных, она выделена. Судя по записи, речь идёт о небольшом двуногом существе,<LINE>а прикреплённые примечания указывают на его интеллект и способность объединяться в сообщества...
If memory serves me right, I believe I've seen this species travel here before. I'm not that sure, as my memory is rather limited...|Если мне не изменяет память, я уже видела, как представители этого вида приходили сюда.<LINE>Я не совсем уверена, так как моя память довольно ограничена...
///SmartRotPearl_PostSlugcat
I've already read this one to you, <PlayerName>.|Я уже зачитывала тебе это, <PlayerName>.
Oh, wait... It appears theres a new entry. It looks like it's been highlighted, unlike the others.|Ох, подожди... Кажется, здесь появилась новая запись. Она выделена, в отличие от остальных.
It seems to describe a small bipedal creature. A type of rodent, more specifically.<LINE>There are also notes attached, mainly indicating its ability to form large communities, and also its intelligence..|Судя по всему, в ней описывается небольшое двуногое существо. А точнее, вид грызунов.<LINE>Также прилагаются заметки, в которых в основном говорится о его способности образовывать большие сообщества, а также о его интеллекте.
I think I've seen this creature pass by here before, actually. My memory is a bit... faded,<LINE>though. I'm not sure how long its been since one had visited..|Кажется, я уже видела это существо здесь раньше. Правда, моя память немного... ослабла.<LINE>Я не знаю, сколько времени прошло с тех пор, как оно здесь появлялось.
This entry also looks like its referencing many of the others, with small slices<LINE>of its genome being filled in with the genomes of other entries.|Эта запись также выглядит так, будто она ссылается на многие другие,<LINE>а небольшие фрагменты её генома заполнены геномами из других записей.
I'm not sure what you're attempting to do with this, but thank you for showing me.<LINE>It's been so long since I've read a large database like this before, let alone a recently made one.|Я не знаю, что ты пытаешься с этим сделать, но спасибо, что показал мне.<LINE>Я уже давно не читала такие большие базы данных, не говоря уже о тех, что были созданы недавно.
///КОНЕЦ ТЕКСТА
