///The Seer (3393904120)///
myr.seer-name|The Seer
Good luck. You can stay here a while if you want, but don't get caught in the rain!|Удачи. Если хочешь, можешь остаться здесь ненадолго, но не попади под дождь!
///Нейроны Луна
///2
...you...killed...|...Ты... убил...
///4
Where does this neuron come from? My nearest functional neighbor is so... far.|Откуда взялся этот нейрон? Мой ближайший функциональный сосед находится так... далеко.
I am grateful - the relief is indescribable!|Я благодарна: облегчение неописуемо!
///5
I could read a bit of Chasing Wind in this neuron before formatting it.<LINE>What a weird bundle of ideas this neuron was carrying. I don't think I understood any of it.|Перед форматированием нейрона я смогла прочитать немного данных В-Погоне-за-Ветром.<LINE>Какой странный набор идей нёс в себе этот нейрон. Не думаю, что я что-то из этого поняла.
We were supposed to help everyone, you know. Everything.<LINE>That was our purpose: a great gift to the lesser beings of the world.<LINE>When facing our inability to do so, we all reacted differently.<LINE>Many with madness.|Знаешь, мы ведь должны были помочь всем. Всему. Мы были великим даром низшим существам этого мира.<LINE>Оказавшись лицом к лицу с собственной беспомощностью, все мы реагировали по-разному. Многие потеряли рассудок.
Some, out there, might still be trying.<LINE>Communications have been bad for a long time, and by now I suspect most of us are isolated like me, or connected only in small groups.|Может, некоторые ещё пытаются кому-то помочь.<LINE>Связь уже давно нарушена — подозреваю, что большинство из нас сейчас в полной изоляции, как и я, или общаются маленькими группами.
But even back when we were all more or less connected there were those who reacted to their task with anger.<LINE>I can only imagine they are angrier now, alone in their cans, left only with their insatiable drive.|Но даже раньше, когда мы ещё не были разобщены, некоторых раздражали наши обязанности.<LINE>Думаю, теперь они в ярости. Заперты в своих коробках наедине с непреодолимым желанием выбраться.
But to be honest, I don't know how many of us are still alive at this point.<LINE>Knowing Grey Wind is still out here is reassuring though.|Но, если честно, я понятия не имею, сколько из нас всё ещё живы.<LINE>Хотя знание того, что Серый Ветер всё ещё здесь, вселяет уверенность.
///Нейрон
You brought these all the way from Chasing Wind?<LINE>Thank you so much.|Ты принёс его из В-Погоне-за-Ветром?
I deeply appreciate your efforts.|Я глубоко ценю твои усилия.
I hope they don't mind.<LINE>I have no way of knowing their current state.<LINE>...<LINE>Thank you, little creature.|Надеюсь, он не против.<LINE>Я никак не могу узнать, в каком он сейчас состоянии.<LINE>...<LINE>Спасибо тебе, маленькое создание.
///Рандом
It is strange... I'm remembering myself, but also... them.|Это странно... Я вспоминаю себя, но также и... его.
